y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
443	18880	211867	211873	OK		415888012415646565940771702371332308438602	415890844307344311482362845881627501997455	600000000000000000000000000000000000000000	123826727398722266776025718826228132564423039396851933202846873233731356600000000000000000000000000000000000000000	29592032061970956757050357363240669808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
449	19364	218081	218083	OK		415885747765431677348638645767678175755430	415888499017707819728242209650444173659920	600000000000000000000000000000000000000000	9310631866898335104334743077774151363251164396851933202846873233731356600000000000000000000000000000000000000000	256057053550830170062710722776508987008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
457	19856	224047	224057	OK		415886343419181275239128435109582023582841	415889021315048181140800566788499259174110	600000000000000000000000000000000000000000	34813431689232932680366874673746523921844914396851933202846873233731356600000000000000000000000000000000000000000	196491678591041121083776532391726245908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
461	20353	230047	230059	OK		415887831382823653632319985877557005064635	415890439415024341594040691609911688007360	600000000000000000000000000000000000000000	104056594587692563545836670202498147457001164396851933202846873233731356600000000000000000000000000000000000000000	47695314353201801928699734893578066508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
463	20858	236527	236549	OK		415886622277076849707815355336112997039268	415889158754698750639887001226592937596215	600000000000000000000000000000000000000000	41524352127196755260173422216638228267548039396851933202846873233731356600000000000000000000000000000000000000000	168605889033594252391753879294380603208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
467	21376	242927	242971	OK		415888060311034033026304047341034778816206	415890529746531338402945578420761346250490	600000000000000000000000000000000000000000	108467312702771123354762981220967050289032414396851933202846873233731356600000000000000000000000000000000000000000	24802493315262403522553387116202909408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
479	21902	249377	249383	OK		415886319884336422993496162761283244672402	415888725826927687242427064537533025936535	600000000000000000000000000000000000000000	20385300805741801161702276713139220455048039396851933202846873233731356600000000000000000000000000000000000000000	198845163076265684311011362269617289808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
487	22429	255947	255961	OK		415886124543390516052679458414816322401589	415888468654997281508921261534749960482015	600000000000000000000000000000000000000000	7828077641399344823665031446271323970673039396851933202846873233731356600000000000000000000000000000000000000000	218379257666959765981446008961844371108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
491	22962	262783	262807	OK		415888097294198063691914742163093022870400	415890380342674881661316493521906411147970	600000000000000000000000000000000000000000	101172202524219285997101904319838997554657414396851933202846873233731356600000000000000000000000000000000000000000	21104176912195842453071181291797490008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
499	23503	269383	269387	OK		415886835768774383391366445571252841336336	415889063051805101376681326394149031488075	600000000000000000000000000000000000000000	36851359273228825295581994291535291744110539396851933202846873233731356600000000000000000000000000000000000000000	147256719280225897282730365309950896408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
503	24049	276247	276251	OK		415886226634143453656701954211833771528503	415888398575843943135275226362785798321050	600000000000000000000000000000000000000000	4406243982299069138353900383665808101532414396851933202846873233731356600000000000000000000000000000000000000000	208170182373199363731866307216931679708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
509	24605	283193	283207	OK		415886760397979900292134297861778226800742	415888878993355754480315016207936777167250	600000000000000000000000000000000000000000	27864130301212401159342433146304782710907414396851933202846873233731356600000000000000000000000000000000000000000	154793798728535820497501312771404455808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
521	25168	290473	290489	OK		415886456951241310683299726239923339091899	415888522437420149590672856308961546400385	600000000000000000000000000000000000000000	10454172508004899100753615996364994380829289396851933202846873233731356600000000000000000000000000000000000000000	185138472587496703954663498260175340108061615315247240800569603617318181682600000000000000000000000000000000000000000	-
